,typhoon,actual,predicted
1925,bopha2012,0.0,0.003103131328426661
1927,bopha2012,0.0,0.0
1928,bopha2012,0.0,0.0
1929,bopha2012,0.0,0.04978486227540499
1930,bopha2012,0.0,0.0009195150891381541
1931,bopha2012,0.0,0.0
1932,bopha2012,0.0,0.0
1934,bopha2012,0.0,0.0
1935,bopha2012,0.0,0.7571306336018818
1937,bopha2012,0.0,0.003139951553924448
1941,bopha2012,0.0417536534446764,0.9289401575742273
1942,bopha2012,0.0,0.47360913291651047
1943,bopha2012,0.0,0.0
1945,bopha2012,0.5025125628140703,1.3622470865171672
1946,bopha2012,0.8854900382370698,1.9453771217811502
1949,bopha2012,0.0,0.0
1950,bopha2012,0.0,0.007109475986874813
1953,bopha2012,0.0,0.05796940778789374
1954,bopha2012,0.0,0.01191819868057551
1955,bopha2012,0.0,0.0
1957,bopha2012,0.0950419768731189,5.6148505983636054
1958,bopha2012,0.0,0.0
1959,bopha2012,0.065556575324505,20.007617604057042
1960,bopha2012,0.0,0.0
1964,bopha2012,0.0,0.06866107728797573
1966,bopha2012,0.0,0.0
1967,bopha2012,0.0,0.03602094634517628
1971,bopha2012,0.0,1.934222147826781e-06
1972,bopha2012,0.3742981908920773,5.194434474519188
1974,bopha2012,0.0060591371788657,0.3384158857534867
1975,bopha2012,0.0,0.004180671260567102
1976,bopha2012,0.0,0.0
1977,bopha2012,0.0,0.0
1978,bopha2012,0.0,0.0
1980,bopha2012,0.0072992700729927,11.933684537814765
1981,bopha2012,0.0,0.0
1982,bopha2012,0.0,0.0
1984,bopha2012,0.0,0.031679194610623254
1986,bopha2012,0.0,0.00991018182469503
1987,bopha2012,0.1763322884012539,4.709791381641403
1988,bopha2012,0.3354096789650215,10.322684922157862
1989,bopha2012,0.0336587007741501,0.3142710966489302
1991,bopha2012,0.1707317073170731,1.5088640173341255
1992,bopha2012,0.0,0.010089441167320669
1994,bopha2012,0.0,0.0
1995,bopha2012,52.04012368956935,35.25759210157153
1996,bopha2012,0.0,0.0
1997,bopha2012,0.0,0.0
1998,bopha2012,0.0,0.03789158911750517
1999,bopha2012,0.0,0.0
2000,bopha2012,0.0,0.025908790434914147
2003,bopha2012,0.0,0.01662201705321648
2004,bopha2012,0.0,0.0
2005,bopha2012,0.0,0.0
2006,bopha2012,0.0,0.0
2007,bopha2012,0.1562093204894558,13.99349752269832
2010,bopha2012,0.1262626262626262,1.1337339504827297
2012,bopha2012,0.0445831475702184,1.3359359716284482
2013,bopha2012,0.0,0.0
2015,bopha2012,0.0,0.0
2016,bopha2012,0.0,0.0
2017,bopha2012,0.0,0.015522062669433314
2018,bopha2012,0.0,0.0
2020,bopha2012,0.0,0.07228234492208474
2021,bopha2012,0.0,0.0
2023,bopha2012,0.0131095962244362,0.1274912295841853
2024,bopha2012,0.0,0.0032354165419591074
2025,bopha2012,0.0,0.019008562128960783
2026,bopha2012,0.0,0.023296866339221095
2030,bopha2012,0.0,0.005119535324251657
2031,bopha2012,0.0,0.0
2032,bopha2012,0.0,0.058259233012894665
2036,bopha2012,0.3974638024037097,0.954327301411968
2037,bopha2012,0.0,0.026394426926489745
2038,bopha2012,0.0,0.006231052857815311
2041,bopha2012,0.0,0.0
2042,bopha2012,0.0,0.0
2043,bopha2012,0.0,0.0
2044,bopha2012,0.0,3.2139389761835933e-06
2047,bopha2012,0.0,0.17548728440917621
2048,bopha2012,0.0,0.0
2049,bopha2012,0.6108897742363878,18.26383134963895
2050,bopha2012,0.0,0.007109475986874813
2051,bopha2012,0.175438596491228,2.0270702049362175
2052,bopha2012,0.0,0.0
2055,bopha2012,0.0,0.0
2057,bopha2012,0.0,0.0
2058,bopha2012,0.0,0.0006330389456918798
2061,bopha2012,0.0,0.0
2062,bopha2012,0.0,0.002052028977786142
2064,bopha2012,0.0,0.0
2065,bopha2012,0.7222586999343401,3.278211051647883
2066,bopha2012,0.0,0.0
2067,bopha2012,0.0,0.04234536664414562
2068,bopha2012,0.0,0.014176447223938744
2069,bopha2012,0.6263048016701461,1.5000925730636643
2072,bopha2012,0.0,0.0
2074,bopha2012,92.77708592777088,34.796107816814576
2076,bopha2012,0.0,4.761552242882065e-06
2077,bopha2012,0.6451612903225806,4.862814224428783
2078,bopha2012,0.673551863493489,2.1731078427651624
2079,bopha2012,0.0,0.04182443851691956
2080,bopha2012,0.0,0.4061217867518614
2082,bopha2012,0.1704158145875937,0.9387496841334921
2083,bopha2012,0.0073152889539136,5.5018548658270765
2084,bopha2012,0.0,0.0
2085,bopha2012,0.0,0.05439633986121126
2086,bopha2012,0.0,7.99608910685333e-06
2087,bopha2012,0.0,0.0
2088,bopha2012,0.0,3.2139389761835933e-06
2092,bopha2012,17.421259842519685,10.904564626184126
2094,bopha2012,0.0,0.01912177456663426
2095,bopha2012,0.0,0.0037047157315953146
2096,bopha2012,0.0,0.006142944044887658
2097,bopha2012,0.0,0.02856137716536413
2098,bopha2012,0.0,0.0
2100,bopha2012,0.0,0.0
2101,bopha2012,0.0,0.0798385936754332
2103,bopha2012,0.0160059755642106,0.44924479094430636
2105,bopha2012,0.0,0.037556575924152326
2106,bopha2012,0.0,0.0
2107,bopha2012,0.7804596039890157,32.82269272009026
2108,bopha2012,0.0,0.0
2109,bopha2012,0.0,0.009589019750822247
2110,bopha2012,0.0,0.035520668815306085
2112,bopha2012,0.0183519911910442,24.88503799711114
2113,bopha2012,1.090909090909091,2.0712215996451238
2114,bopha2012,0.026816840976133,0.4549294505713533
2115,bopha2012,0.3936096318592266,0.7709609631512688
2117,bopha2012,0.0,0.003358512917300848
2118,bopha2012,0.0549450549450549,2.6512976901285272
2120,bopha2012,0.0,0.0
2121,bopha2012,0.0,0.0
2122,bopha2012,0.0,0.024004340188981385
2123,bopha2012,0.0,0.0
2124,bopha2012,0.0,0.0
2125,bopha2012,0.0,0.16517476555839727
2126,bopha2012,0.0,0.0
2127,bopha2012,0.0,0.0029967160550508115
2130,bopha2012,0.0,0.2754675147889122
2132,bopha2012,22.17945898394546,14.296459222088703
2133,bopha2012,0.0,0.055930354642739405
2135,bopha2012,0.0,0.0
2138,bopha2012,0.0903016073686111,2.8536607487086894
2140,bopha2012,0.4537597234226448,2.1809106633547866
2141,bopha2012,0.0432152117545375,0.5320812415573988
2142,bopha2012,0.0,0.0
2144,bopha2012,0.1231527093596059,2.002070368005366
2145,bopha2012,100.0,34.82880914720016
2149,bopha2012,0.0,0.04048597753140035
2150,bopha2012,0.0,0.048690794127404
2151,bopha2012,0.0,0.006746120209321642
2154,bopha2012,2.7443680794196257,9.518725406741515
2157,bopha2012,0.0,0.01208933522191073
2159,bopha2012,0.0,0.0
2161,bopha2012,0.0594782904239952,26.186596285824102
2162,bopha2012,0.0,1.6556581203321241
2165,bopha2012,0.0,0.010921436560691762
2168,bopha2012,0.2417354723259975,1.6769605437642707
2171,bopha2012,0.0,0.03476939739941406
2172,bopha2012,0.0,0.027405348973589053
2173,bopha2012,0.0,0.0
2178,bopha2012,0.0249708673214582,0.5946297025448943
2179,bopha2012,0.0,0.0
2180,bopha2012,0.6884720951509606,12.309229483569123
2181,bopha2012,0.0,0.06717571488803031
2183,bopha2012,0.4099843241287833,4.762538128598829
2184,bopha2012,0.0138869601444243,0.6650342359002963
2185,bopha2012,0.0,0.0
2186,bopha2012,0.0091033227127901,17.026913231761796
2189,bopha2012,48.20924910861583,39.200437676322295
2190,bopha2012,0.0,0.0
2192,bopha2012,0.0,0.0
2194,bopha2012,0.0,0.0
2197,bopha2012,0.0,0.04695501410527544
2199,bopha2012,0.4545454545454545,0.3722393829327888
2201,bopha2012,0.0,0.0
2202,bopha2012,0.0,0.0048205893510515204
2204,bopha2012,0.0,0.024177746480648882
2205,bopha2012,0.0,0.0
2207,bopha2012,0.0,0.0048374410895928414
2210,bopha2012,0.0,0.003314107224778817
2211,bopha2012,0.0,0.0
2212,bopha2012,0.2453385672227674,1.5407997451807567
2216,bopha2012,0.0193685841564981,1.06557003956351
2217,bopha2012,0.0,0.033662387793803636
2218,bopha2012,0.0,0.0
2219,bopha2012,0.1169818678104893,0.614580307152318
2221,bopha2012,0.0,0.4074763011012894
2235,bopha2012,0.0,0.0
2236,bopha2012,0.0,0.0
2237,bopha2012,0.0,0.0
2239,bopha2012,0.0310655483069276,0.6265709863086835
2240,bopha2012,0.0460405156537753,1.0227557213791878
2242,bopha2012,0.0,0.005157519184509289
2243,bopha2012,0.0,0.00884105416136884
2246,bopha2012,0.2530364372469635,1.1204534714282997
2247,bopha2012,0.0,0.007170217846755926
2251,bopha2012,0.0,0.009822407587670383
2252,bopha2012,0.025,0.19826458245014655
2254,bopha2012,0.0,0.0
2256,bopha2012,0.0,0.00630677495604194
2257,bopha2012,0.0,0.049755495594191464
2259,bopha2012,0.0521104742053152,9.977345394350296
2260,bopha2012,0.0,0.0
2262,bopha2012,0.0,0.0
2263,bopha2012,0.0,0.0
2264,bopha2012,0.0,0.0
2266,bopha2012,0.0,0.0
2267,bopha2012,0.136147038801906,17.690100430750075
2269,bopha2012,0.0261802949646566,5.425488404022397
2270,bopha2012,0.0,0.0
2271,bopha2012,0.0,0.0
2272,bopha2012,0.0,0.009398413644918018
2273,bopha2012,0.0,0.0
2276,bopha2012,0.0,0.0
2279,bopha2012,0.0,0.0008076698914544243
2280,bopha2012,0.1556904873112252,0.7693370491250074
2282,bopha2012,1.66369578134284,2.4557636749844414
2283,bopha2012,0.9085034401490096,7.365953076848471
2284,bopha2012,0.2076843198338525,27.85531309782974
2285,bopha2012,0.0,3.4089478412865994e-06
2287,bopha2012,0.0,0.0
2289,bopha2012,0.0,0.035659478960136284
2293,bopha2012,0.0688705234159779,2.192466439495196
2298,bopha2012,0.0,0.9585550449627762
2302,bopha2012,2.5485714285714285,3.3099688725448204
2304,bopha2012,0.0,0.0
2307,bopha2012,0.0,0.0
2308,bopha2012,0.0,0.0
2310,bopha2012,0.0,0.0001691694460339935
2311,bopha2012,0.0,0.0
